Name,Current price,Change(%),Open,High,Low,Volume
ALERUS FINANCIAL,19.53,1.45,19.45,19.64,19.21,95847
GALAPAGOS NV ADS,27.27,11.37,27.43,27.46,27.21,95712
ASSURE HOLDINGS,0.4303,0.05,0.435,0.4599,0.4302,95582
ARBE ROBOTICS,1.79,6.55,1.67,1.84,1.67,95495
CREXENDO INC.,3.41,12.85,3.52,3.57,3.35,95253
HURON CONSULTING GROUP INC.,87.17,1.86,86.78,87.17,85.85,95082
22ND CENTURY GROUP INC,1.24,10.8,1.26,1.3,1.23,95011
ESSA PHARMA INC.,6.39,1.43,6.38,6.48,5.99,94799
KALTURA INC.,1.17,10.85,1.2,1.2,1.15,94606
SUPER HI INTERNATIONAL HOLDING,19.65,5.59,18.6,19.85,18.08,94240
ANI PHARMACEUTICALS INC.,61.32,1.59,60.18,61.89,60.03,94234
EXELA TECHNOLOGIES INC.,2.78,6.51,2.63,2.88,2.63,94231
MODIVCARE INC.,27.58,11.39,28.19,28.19,27.28,94183
ALLIENT INC.,26.7,0.04,26.92,26.92,26.19,94054
REPARE THERAPEUTICS INC.,3.12,0.65,3.09,3.25,3.05,93859
SOBR SAFE INC.,0.225,1.81,0.232,0.2399,0.221,93480
SERA PROGNOSTICS INC.,8.65,4.72,8.25,8.65,8.17,93326
TRICO BANCSHARES,37.71,1.45,37.45,37.78,37.1,93310
U-BX TECHNOLOGY,5.6,2.0,5.58,5.68,5.0,93166
NEUROPACE INC.,7.53,10.92,7.51,7.74,7.41,93141
MATTHEWS INTERNATIONAL,28.41,0.42,28.44,28.45,28.2,92978
GEOSPACE TECHNOLOGIES,10.16,1.09,10.02,10.43,10.02,92956
GENASYS INC.,1.81,5.85,1.74,1.87,1.71,92918
XBIOTECH INC.,8.31,10.6,8.38,8.46,8.1,92688
HUTCHMED (CHINA),18.73,0.05,18.11,18.86,18.11,92595
PERMA-FIX ENVIRONMENTAL SERVICES,10.55,10.85,10.69,10.93,10.47,92493
PDF SOLUTIONS INC.,35.43,1.69,35.27,35.48,34.88,92379
NOODLES & COMPANY,1.85,2.78,1.9,1.91,1.82,92330
PALOMAR HOLDINGS INC.,81.74,0.09,82.25,82.25,81.31,92276
SMART SHARE GLOBAL,1.05,12.78,1.04,1.09,1.02,92210
HEALTHCARE TRIANGLE INC.,0.7045,15.97,0.7611,0.7611,0.671,92176
QUINCE THERAPEUTICS INC.,0.8499,12.31,0.86,0.8685,0.8439,92131
RELMADA THERAPEUTICS INC.,3.05,11.93,3.12,3.12,2.96,92014
DOUYU INTERNATIONAL HLD.,9.97,0.81,9.79,10.38,9.79,92005
ROCKWELL MEDICAL INC.,1.81,10.55,1.82,1.82,1.74,91635
AMALGAMATED FINANCIAL,25.3,0.88,25.22,25.39,25.02,91632
GULF ISLAND FABRICATION INC.,7.08,9.26,6.51,7.09,6.49,91589
TILE SHOP HOLDINGS INC.,6.56,2.82,6.41,6.58,6.38,91499
SADOT GROUP INC.,0.3108,3.6,0.3,0.3199,0.29,91155
PSYENCE BIOMEDICAL,0.829,0.34,0.802,0.83,0.78,91030
THE HACKETT GROUP INC.,21.53,0.84,21.46,21.53,21.29,90252
NEOVOLTA INC.,3.04,0.66,3.05,3.14,3.0,90134
LANCASTER COLONY,184.47,10.71,186.77,186.77,184.01,89988
APOGEE ENTERPRISES INC.,67.03,1.87,66.2,67.14,65.97,89781
ZENVIA INC.,3.43,18.04,3.73,3.73,3.25,89533
CALAMOS CONVERTIBLE AND HIGH,11.14,0.91,11.07,11.14,11.04,89206
INNOSPEC INC.,129.49,1.33,128.7,129.5,127.93,89155
1STDIBS.COM INC.,5.54,10.18,5.56,5.64,5.49,89086
CAPTIVISION INC.,5.09,11.93,5.19,5.32,5.07,89027
ICECURE MEDICAL,1.03,10.96,1.07,1.07,1.02,88933
ROYALTY MANAGEMENT HOLDING,1.17,15.84,1.05,1.19,1.05,88847
AUDDIA INC.,1.33,17.64,1.39,1.46,1.32,88804
BEYONDSPRING INC.,2.98,113.12,3.45,3.63,2.98,88415
MINGTENG INTERNATIONAL,6.29,11.26,6.4,6.67,6.23,88396
ZYNEX INC.,10.52,2.24,10.29,10.52,10.25,88107
TRANSPHORM INC.,4.89,0.0,4.91,4.91,4.87,88004
MILESTONE PHARMACEUTICALS INC.,1.71,12.29,1.76,1.76,1.71,87944
CLEARSIDE BIOMEDICAL INC.,1.35,10.74,1.37,1.4,1.31,87901
HARBORONE BANCORP INC.,10.49,10.76,10.64,10.72,10.43,87229
SILVACO GROUP INC.,18.96,0.42,18.74,18.98,18.67,87112
CURIOSITYSTREAM INC.,1.08,2.86,1.06,1.09,1.05,86969
HORIZON BANCORP INC.,12.24,0.0,12.32,12.32,12.16,86586
SLR INVESTMENT,16.29,1.18,16.18,16.3,16.15,86482
SPERO THERAPEUTICS INC.,1.47,10.68,1.46,1.5,1.45,86416
MAGIC EMPIRE GLOBAL,0.6419,11.97,0.65,0.683,0.6301,86276
BRAND ENGAGEMENT NETWORK INC.,1.16,12.52,1.24,1.31,1.11,85990
EKSO BIONICS HLD.,1.26,13.08,1.28,1.3,1.2,85966
ZYVERSA THERAPEUTICS INC.,4.31,0.47,4.26,4.51,4.25,85812
SCINAI IMMUNOTHERAPEUTICS,4.14,12.5,4.03,4.4,3.7,85595
CARMELL CORP.,2.57,2.39,2.64,2.65,2.46,85562
ICF INTERNATIONAL INC.,144.15,1.04,143.57,144.64,141.77,85425
INTER PARFUMS INC.,118.88,0.77,119.11,120.25,117.58,85383
LASER PHOTONICS,1.99,15.69,2.02,2.02,1.95,85339
AMERICAN PUBLIC EDUCATION INC.,17.63,0.51,17.64,17.73,17.25,84881
PHIBRO ANIMAL HEALTH,18.55,0.49,18.46,18.6,18.31,84791
STONEX GROUP INC.,74.94,0.73,74.88,75.17,74.09,84341
HELIUS MEDICAL TECHNOLOGIES,1.24,13.13,1.28,1.33,1.17,84289
TIZIANA LIFE SCIENCES LTD,0.8099,9.34,0.8,0.8099,0.7403,84265
ARROW FINANCIAL,24.56,0.95,24.53,24.97,24.13,84192
CADIZ INC.,3.13,0.64,3.12,3.15,3.0,84032
SPOK HOLDINGS INC.,15.2,0.86,15.11,15.25,15.05,83984
UCOMMUNE INTERNATIONAL LTD,2.03,111.35,2.28,2.37,2.03,83922
SAFE & GREEN HOLDINGS,4.63,5.23,4.46,4.8,4.44,83840
LESAKA TECHNOLOGIES INC.,4.88,10.61,4.91,4.95,4.82,83831
COLOR STAR TECHNOLOGY CO.,0.2649,11.67,0.261,0.2667,0.2451,83702
MAINZ BIOMED N.V.,0.5717,1.58,0.56,0.58,0.5501,83619
BROOGE ENERGY LTD.,0.9337,16.4,0.9981,0.9981,0.92,83595
BOK FINANCIAL CORP.,92.05,0.91,91.8,92.05,90.36,83570
LAKELAND FINANCIAL,61.08,1.61,60.57,61.21,59.85,83429
BEL FUSE INC.,68.72,1.73,67.79,69.2,67.6,83284
PRESTIGE WEALTH INC.,1.0,14.76,1.07,1.07,0.94,83169
ALICO INC.,25.22,12.06,25.69,25.69,24.14,83092
CARDIO DIAGNOSTICS HLD.,0.6858,12.03,0.694,0.7098,0.672,82764
VSE CORP.,78.25,1.18,78.07,78.32,76.85,82605
BIOSIG TECHNOLOGIES INC.,1.73,6.13,1.66,1.8,1.62,82540
VIRCO MANUFACTURING,12.07,1.26,12.01,12.15,11.65,82464
JAKKS PACIFIC INC.,18.68,10.8,18.96,19.01,18.33,82454
SENTI BIOSCIENCES INC.,0.3401,13.11,0.3532,0.3638,0.3122,82385
AIRGAIN INC.,5.32,3.3,5.33,5.62,5.19,82366
AROGO CAPITAL ACQUISITION,10.91,0.18,10.91,10.98,10.91,82304
PANGAEA LOGISTICS SOLUTIONS,7.84,0.64,7.84,7.98,7.74,82272
HANRYU HOLDINGS INC.,0.3925,14.27,0.429,0.43,0.3851,82187
OUTBRAIN INC.,4.81,1.48,4.75,4.82,4.67,82171
ALIMERA SCIENCES INC.,2.95,11.34,2.95,3.11,2.93,82138
ACHILLES THERAPEUTICS PLC ADS,0.91,1.53,0.9,0.91,0.8704,82028
FARO TECHNOLOGIES INC.,18.66,11.53,19.04,19.04,18.49,82007
BURGERFI INTERNATIONAL INC,0.3848,2.34,0.381,0.39,0.37,81975
TRAVELZOO,7.89,1.15,7.85,8.09,7.85,81888
BRP INC.,66.85,0.45,66.71,67.78,66.71,81436
ADAMAS ONE CORP.,0.2997,6.05,0.2899,0.31,0.28,81341
APPLIED DNA SCIENCES INC.,1.99,11.97,1.98,2.11,1.92,81088
ARRIVENT BIOPHARMA INC.,19.24,1.91,18.9,19.24,18.12,81061
LATHAM GROUP INC.,3.72,0.81,3.72,3.76,3.66,80986
URBAN ONE INC.,2.02,1.51,2.04,2.11,1.98,80237
IDENTIV INC.,4.19,1.21,4.14,4.28,4.14,80178
ACE GLOBAL BUSINESS ACQUISITION,12.03,0.0,12.09,12.22,12.03,80032
CLEARMIND MEDICINE INC.,1.15,1.77,1.14,1.18,1.11,79300
GORILLA TECHNOLOGY GROUP INC.,5.44,2.84,5.3,5.5,5.29,79253
MONARCH CASINO & RESORT INC.,66.22,1.74,65.49,66.27,65.28,79219
MORNINGSTAR INC.,297.6,1.17,293.79,299.04,293.79,79174
ASPEN TECHNOLOGY INC.,220.96,0.88,219.03,222.13,218.93,79047
MOMENTUS INC.,0.5297,11.16,0.5125,0.5398,0.503,79002
MAIDEN HOLDINGS LTD.,2.07,0.0,2.07,2.12,2.04,79001
ASTRONICS CORP.,20.92,1.9,20.74,21.05,20.53,78894
RUMBLEON INC.,5.91,1.9,5.94,6.07,5.8,78766
GENERATION BIO CO.,3.07,11.92,3.16,3.27,3.03,78714
HALL OF FAME RESORT & ENTERTAINMENT CO.,2.71,19.06,3.01,3.01,2.53,78198
ANTERIX INC.,32.37,10.77,32.6,32.84,32.19,77972
ORGANOVO HOLDINGS INC.,0.9974,0.65,1.0,1.03,0.985,77850
HYWIN HOLDINGS,0.521,1.2,0.5,0.545,0.5,77527
FORRESTER RESEARCH INC.,18.04,0.67,18.05,18.24,17.82,77311
LEXEO THERAPEUTICS INC.,15.46,10.13,15.27,15.61,15.08,77249
DURECT CORP.,1.3,3.17,1.3,1.3,1.22,76863
CELCUITY INC.,15.64,11.39,15.97,16.03,15.6,76844
BIO-PATH HOLDINGS INC.,2.03,1.0,2.01,2.1,2.0,76780
DIH HOLDING US INC.,1.6,3.23,1.49,1.64,1.44,76765
DXP ENTERPRISES INC.,49.6,13.52,51.52,51.55,49.26,76668
NUVECTIS PHARMA INC.,6.21,17.04,6.74,6.85,6.11,76589
HEALTHSTREAM INC.,27.08,0.33,27.05,27.29,26.89,76340
BLUE WORLD ACQUISITION,8.73,10.68,9.24,15.61,7.44,76274
CO-DIAGNOSTICS INC.,1.06,11.85,1.07,1.1,1.02,76178
THE RMR GROUP INC.,23.12,10.6,23.48,23.48,23.03,75895
TELESAT CORP.,9.45,8.25,8.76,9.46,8.72,75667
BENEFICIENT,3.15,13.37,3.09,3.33,3.07,75580
ITERUM THERAPEUTICS PLC ORD.,1.35,12.88,1.4,1.44,1.34,75403
LIBERTY BROADBAND,51.6,1.49,50.96,51.65,50.72,75380
KVH INDUSTRIES INC.,5.1,10.78,5.14,5.2,5.04,75312
WESTAMERICA BANCORP.,48.23,0.17,48.38,49.67,47.83,75218
MONOGRAM TECHNOLOGIES INC.,2.04,3.03,2.01,2.04,1.88,75096
SOHU.COM LTD.,12.11,0.83,11.9,12.12,11.86,74921
NUTRIBAND INC.,5.1,6.92,5.0,5.58,4.79,74836
U.S. GOLDMINING INC.,6.47,12.52,5.86,6.84,5.86,74730
KANDI TECHNOLOGIES GROUP INC.,2.12,11.85,2.15,2.16,2.08,74579
GLADSTONE CAPITAL,22.28,1.18,22.13,22.32,22.12,74391
DBV TECHNOLOGIES S.A. ADS,0.6096,10.65,0.608,0.62,0.5835,74032
KURA SUSHI USA INC.,96.09,0.89,96.37,98.09,94.83,73870
JVSPAC ACQUISITION,10.12,0.0,10.12,10.12,10.12,73822
GEOVAX LABS INC.,1.74,2.96,1.64,1.79,1.64,73651
ATERIAN INC.,2.64,10.38,2.67,2.73,2.59,73633
UNITED FIRE GROUP INC,22.58,10.13,22.7,22.7,22.16,73462
NUVEEN NASDAQ 100 DYNAMIC OVERWRITE FUN,24.04,0.63,23.86,24.17,23.86,73154
A SPAC II ACQUISITION,11.16,0.18,11.14,11.16,11.14,72913
GAMESQUARE HOLDINGS INC.,1.32,11.49,1.37,1.37,1.32,72888
FREEDOM HOLDING,77.38,1.92,76.26,77.86,75.81,72886
SEZZLE INC.,69.22,1.44,67.01,70.0,64.56,72357
FIBROBIOLOGICS INC.,11.48,1.5,11.18,12.08,11.05,72092
INFORMATION SERVICES GROUP,3.16,0.32,3.14,3.2,3.14,72055
GREENPOWER MOTOR CO.,1.24,1.64,1.26,1.27,1.22,71884
THE SINGING MACHINE CO.,1.4,3.7,1.39,1.47,1.27,71746
TAOPING INC.,0.7401,11.62,0.76,0.794,0.7,71721
CLEARONE INC.,0.7571,10.89,0.765,0.7659,0.7571,71541
MONEYHERO LTD.,2.16,12.26,2.16,2.25,2.15,71267
TOUGHBUILT INDUSTRIES INC.,2.85,13.39,2.98,3.08,2.75,71257
EVOGENE,0.8199,13.86,0.7201,0.8499,0.7201,71213
HF FOODS GROUP INC.,3.35,6.35,3.2,3.41,3.2,71107
CENTRAL GARDEN & PET CO.,45.35,0.0,45.64,45.92,45.05,70947
PARAZERO TECHNOLOGIES,0.6876,0.76,0.6901,0.6901,0.664,70879
OCUPHIRE PHARMA INC.,1.76,2.92,1.71,1.76,1.7,70679
EVOTEC SE ADS,4.77,13.25,4.79,4.84,4.77,70517
CHICAGO ATLANTIC REAL ESTATE FINANCE,15.68,1.49,15.47,15.71,15.45,70484
RED VIOLET INC.,21.72,2.45,21.14,21.75,20.82,70411
MIRA PHARMACEUTICALS INC.,0.885,0.57,0.8601,0.9,0.86,70397
CARGO THERAPEUTICS INC.,20.86,0.1,21.13,21.69,20.55,70339
ENVERIC BIOSCIENCES INC.,0.8199,0.4,0.8166,0.83,0.8,70334
PROQR THERAPEUTICS N.V.,1.88,10.53,1.9,1.94,1.85,70262
IM CANNABIS CORP.,0.6007,1.81,0.61,0.6334,0.6,70248
INSPIRE VETERINARY PARTNERS,2.78,6.51,2.7,2.89,2.61,70003
FIRST CITIZENS BANCSHARES INC.,1781.25,1.89,1743.51,1786.8,1743.51,69873
ESGL HOLDINGS LTD.,1.02,3.03,0.96,1.05,0.96,69860
TRIUMPH FINANCIAL INC.,74.49,1.06,74.07,74.66,73.5,69798
CENNTRO INC.,1.79,2.87,1.76,1.84,1.76,69426
SOLUNA HOLDINGS INC.,2.46,11.2,2.54,2.54,2.31,69409
FORTRESS BIOTECH INC.,1.87,1.63,1.84,1.9,1.82,69114
PHARVARIS N.V.,20.18,3.22,19.79,21.87,19.12,69076
CIBUS INC.,15.54,10.58,15.59,15.72,15.21,68990
UNIVEST FINANCIAL,22.41,1.13,22.22,22.42,22.06,68961
PROFESSIONAL DIVERSITY NETWORK,0.69,2.51,0.661,0.7666,0.661,68699
IO BIOTECH INC.,1.27,13.79,1.33,1.35,1.25,68394
JOHN B. SANFILIPPO & SON INC.,100.16,10.81,101.26,101.75,99.42,67927
MACATAWA BANK CORP.,14.06,1.15,13.94,14.06,13.85,67855
EGAIN CORP.,6.31,11.1,6.41,6.47,6.29,67823
BTCS INC.,1.69,1.2,1.65,1.73,1.63,67681
LIXIANG EDUCATION HOLDING CO.,0.3781,12.05,0.385,0.399,0.36,67590
GOLDEN STAR ACQUISITION,10.81,0.56,10.67,10.81,10.67,67427
CONDUIT PHARMACEUTICALS INC.,2.84,14.05,2.92,3.0,2.79,67378
ARCADIA BIOSCIENCES INC.,2.92,2.82,2.78,3.2,2.68,67367
EQUILLIUM INC.,1.4,0.0,1.4,1.49,1.38,67336
APTEVO THERAPEUTICS INC.,0.711,12.59,0.735,0.7689,0.702,67075
SYROS PHARMACEUTICALS INC.,4.97,13.5,5.13,5.23,4.94,67056
NEXTCURE INC.,1.55,13.73,1.66,1.66,1.51,67017
STAFFING 360 SOLUTIONS INC.,0.35,8.36,0.3316,0.3699,0.33,66992
QT IMAGING HOLDINGS INC.,0.8501,4.94,0.815,0.8501,0.7801,66972
TERRITORIAL BANCORP INC.,8.1,10.25,8.1,8.15,7.85,66823
PRIMECH HOLDINGS,0.57,17.32,0.6,0.6148,0.57,66805
CARAVELLE INTERNATIONAL GROUP,1.12,5.66,1.09,1.13,1.04,66639
NEXALIN TECHNOLOGY INC.,1.01,14.72,1.05,1.08,1.01,66454
VIRACTA THERAPEUTICS INC.,0.735,1.09,0.763,0.8,0.6615,66422
SIGHT SCIENCES INC.,5.57,5.49,5.29,5.66,5.29,66284
PROFICIENT AUTO LOGISTICS INC.,14.98,0.81,14.83,15.05,14.81,65932
EDGIO INC.,9.63,3.44,9.45,9.73,9.31,65682
CEA INDUSTRIES INC.,0.7003,16.63,0.7,0.7799,0.6288,65642
AGNC INVESTMENT,24.01,1.52,23.48,24.18,23.35,65551
LUMOS PHARMA INC.,2.45,12.0,2.47,2.52,2.28,65546
INMUNE BIO INC.,10.11,10.1,10.13,10.32,9.9,65492
CODERE ONLINE LUXEMBOURG S.A.,7.56,0.8,7.4,7.7,7.35,65490
SOUTHSIDE BANCSHARES INC.,26.59,10.08,26.77,26.77,26.44,65367
OHMYHOME LTD.,0.5303,11.25,0.5394,0.5424,0.5203,65354
CONNECT BIOPHARMA HLD.,1.76,12.22,1.62,1.8,1.62,65207
AKILI INC.,0.419,2.2,0.4057,0.4209,0.4055,65048
HAWKINS INC.,89.46,1.97,88.36,89.6,87.63,64919
ARB IOT GROUP LTD.,0.847,4.58,0.8113,0.87,0.8113,64887
WANG & LEE GROUP INC.,0.55,0.31,0.55,0.61,0.5499,64788
GSI TECHNOLOGY INC.,2.79,2.57,2.76,2.83,2.75,64617
CERO THERAPEUTICS HLD.,0.9178,12.37,0.95,0.9599,0.87,64607
OXBRIDGE RE HOLDINGS,2.2,11.35,2.3,2.3,1.96,64404
ASPIRA WOMEN S HEALTH INC.,2.29,11.72,2.37,2.38,2.0,64244
ICAD INC.,1.58,11.86,1.59,1.63,1.57,64070
COCA-COLA CONSOLIDATED INC.,992.65,1.91,975.38,995.3,975.38,63645
ADDUS HOMECARE CORP.,111.61,2.36,109.78,111.61,109.4,63377
VERRICA PHARMACEUTICALS INC.,8.56,2.51,8.4,8.66,8.25,63105
LUOKUNG TECHNOLOGY CORP,0.69,5.2,0.65,0.72,0.65,63087
CAPITAL PRODUCT PARTNERS L.P.,17.53,7.68,16.64,17.82,16.35,62967
ITURAN LOCATION AND CONTROL,26.45,10.82,26.89,27.0,26.05,62966
METAGENOMI INC.,6.55,11.36,6.67,6.83,6.51,62819
ULTRALIFE CORP.,11.3,10.53,11.23,11.38,11.09,62591
ORAMED PHARMACEUTICALS INC.,2.34,0.86,2.34,2.36,2.29,62461
CAMBIUM NETWORKS,3.25,10.61,3.29,3.39,3.22,62392
GLOBUS MARITIME LTD.,2.25,7.66,2.1,2.25,2.1,62325
BRAINSWAY LTD. ADS,5.4,0.93,5.55,5.55,5.33,61775
TUNGRAY TECHNOLOGIES INC,4.51,10.22,4.51,5.15,4.47,61690
SILVERSUN TECHNOLOGIES INC.,15.99,6.6,15.64,16.18,15.29,61560
LEMAITRE VASCULAR INC.,79.75,0.21,80.03,80.42,79.4,61364
PREMIER FINANCIAL,20.21,0.35,20.3,20.48,19.96,61101
LIFETIME BRANDS INC.,10.47,12.06,10.69,10.92,10.41,61022
COMPASS DIGITAL ACQUISITION,10.82,0.0,10.82,10.82,10.8,60758
ENANTA PHARMACEUTICALS INC.,12.03,10.41,12.06,12.45,11.93,60589
ERIE INDEMNITY CO.,388.96,1.56,385.78,389.82,380.95,60506
TYRA BIOSCIENCES INC.,17.32,1.88,17.16,17.47,16.67,60394
J & J SNACK FOODS,162.36,10.36,163.9,163.9,161.28,60208
MANITEX INTERNATIONAL INC.,6.13,0.82,6.08,6.15,5.87,60108
PAINREFORM,0.7,13.87,0.74,0.76,0.65,60027
DUOS TECHNOLOGIES GROUP INC.,2.34,10.85,2.4,2.4,2.2,59898
MEDIACO HOLDING INC.,1.17,5.41,1.06,1.21,1.06,59850
BANCFIRST CORP.,86.65,0.07,86.75,86.9,85.54,59735
PETROS PHARMACEUTICALS INC.,0.61,10.57,0.61,0.655,0.6,59646
GALMED PHARMACEUTICALS,0.3874,10.67,0.4,0.4099,0.38,59388
EURO TECH HOLDINGS CO.,1.85,4.52,1.79,1.94,1.75,59336
THE JOINT CORP.,16.42,12.26,16.81,17.0,16.36,59308
IDEAL POWER INC.,7.4,1.37,7.5,7.56,7.25,59286
RYVYL INC.,1.2,14.76,1.25,1.37,1.18,59182
STOCK YARDS BANCORP INC.,46.7,0.56,46.76,46.82,46.21,59167
LITTELFUSE INC.,260.05,0.76,260.14,261.71,259.49,59157
AVALON GLOBOCARE,0.2958,9.03,0.275,0.31,0.275,59120
ENVOY MEDICAL INC.,2.76,19.51,3.02,3.08,2.61,58869
MONOPAR THERAPEUTICS INC.,0.6289,1.44,0.6011,0.6489,0.6002,58774
GSE SYSTEMS INC.,3.43,2.08,3.31,3.73,3.17,58563
SUPERIOR GROUP OF COMPANIES,19.3,0.26,19.37,19.53,19.16,58360
GOGORO INC.,1.42,0.0,1.42,1.43,1.41,58265
GILAT SATELLITE NETWORKS,5.29,0.95,5.26,5.31,5.2,58229
VIGIL NEUROSCIENCE INC.,3.63,1.11,3.6,3.73,3.56,58138
DIGIHOST TECHNOLOGY INC.,1.3,14.41,1.35,1.36,1.27,57959
LANDS END INC.,14.07,0.79,14.01,14.16,13.71,57555
SHORE BANCSHARES INC.,11.29,0.18,11.23,11.35,11.23,57484
SUPER LEAGUE ENTERPRISE INC.,1.24,10.8,1.25,1.31,1.17,57474
CADRENAL THERAPEUTICS INC.,0.4106,12.0,0.4216,0.4345,0.4073,57112
POP CULTURE GROUP CO. LTD,1.48,10.67,1.49,1.54,1.47,57102
PERFORMANT FINANCIAL,3.09,0.65,3.09,3.15,3.07,57077
OSTIN TECHNOLOGY GROUP CO.,0.4324,2.95,0.42,0.4324,0.4001,56983
ROADZEN INC.,3.74,12.86,3.54,4.0,3.43,56930
PERPETUA RESOURCES,5.99,2.04,5.85,5.99,5.85,56710
SILO PHARMA INC.,1.92,13.52,1.91,2.15,1.86,56556
TRACON PHARMACEUTICALS INC.,1.49,11.97,1.53,1.54,1.48,56465
CARTESIAN GROWTH,11.22,10.09,11.23,11.23,11.22,56375
CARTESIAN THERAPEUTICS INC.,24.57,13.5,25.9,26.25,24.34,56326
U POWER LTD.,5.8,4.69,5.75,5.92,5.56,56152
ITERIS INC.,4.57,0.88,4.6,4.6,4.54,56042
DOLPHIN ENTERTAINMENT INC.,1.12,2.75,1.14,1.14,1.08,55903
TIPTREE INC.,17.39,0.4,17.29,17.42,17.26,55671
CENTURY THERAPEUTICS INC.,3.04,12.56,3.13,3.31,2.98,55643
MORPHOSYS AG ADS,18.54,1.26,18.24,18.54,18.24,55497
AVIAT NETWORKS INC.,30.3,10.49,30.52,30.91,30.24,55481
INNO HOLDINGS INC.,0.5299,13.6,0.53,0.5497,0.511,55419
BAIJIAYUN GROUP LTD CLASS,1.01,2.02,0.96,1.05,0.96,55401
INTEVAC INC.,3.94,0.25,3.97,3.97,3.89,55331
BELITE BIO INC ADS,45.57,0.0,45.0,45.7,44.5,55289
TELA BIO INC.,5.85,10.68,5.88,5.95,5.79,55242
LINCOLN EDUCATIONAL SERVICES,11.84,0.77,11.88,12.02,11.75,55166
AFC GAMMA INC.,12.49,2.13,12.3,12.49,12.28,55163
ALTI GLOBAL INC.,4.52,10.44,4.56,4.64,4.48,55136
COASTAL FINANCIAL,44.36,2.24,43.39,44.36,43.18,54959
THE FIRST OF LONG ISLAND,10.14,1.0,10.15,10.22,10.04,54864
ALCHEMY INVESTMENTS ACQUISITION CORP 1,10.66,10.28,10.67,10.67,10.66,54785
KIORA PHARMACEUTICALS INC.,0.5459,2.46,0.515,0.555,0.515,54647
GRIID INFRASTRUCTURE INC.,0.755,10.64,0.7203,0.7828,0.7203,54484
SIMULATIONS PLUS INC.,49.83,0.32,50.01,50.21,49.08,54471
CASTOR MARITIME INC.,3.93,3.15,3.8,4.06,3.75,54470
ASURE SOFTWARE INC,7.54,1.62,7.45,7.56,7.4,54203
THE OLB GROUP INC.,3.8,10.14,3.67,4.2,3.56,54175
180 LIFE SCIENCES,1.62,12.41,1.73,1.78,1.61,54151
MOBIX LABS INC.,2.2,10.45,2.19,2.35,2.19,54134
FUSION FUEL GREEN PLC,1.18,10.84,1.17,1.22,1.16,53941
FERROVIAL SE,40.21,0.52,39.74,41.7,39.26,53939
ONEWATER MARINE INC.,25.69,4.39,24.94,25.8,24.82,53922
OPGEN INC.,3.3,0.92,3.25,3.48,3.25,53839
CENTOGENE N.V.,0.374,11.6,0.388,0.3889,0.37,53716
SMITH-MIDLAND CORP.,32.39,16.09,34.53,34.67,31.13,53711
COSMOS HEALTH INC.,0.699,2.21,0.653,0.7,0.6502,53637
INTELLIGENT BIO SOLUTIONS INC.,2.31,0.0,2.38,2.38,2.23,53599
UNITY BIOTECHNOLOGY INC.,1.48,1.37,1.46,1.5,1.45,53589
MONTANA TECHNOLOGIES CORP,14.14,2.46,13.91,14.57,13.4,53542
MOLECULAR TEMPLATES INC.,1.25,15.3,1.34,1.34,1.16,53525
BON NATURAL LIFE,2.93,0.0,2.94,3.06,2.82,53519
VIVAKOR INC.,1.27,0.0,1.17,1.31,1.17,53240
MAGIC SOFTWARE ENTERPRISES,10.64,1.92,10.46,10.7,10.41,53208
HOMESTREET INC.,9.35,11.06,9.55,9.55,9.22,53203
AWARE INC.,1.84,10.54,1.9,1.93,1.82,52958
ELICIO THERAPEUTICS INC.,8.41,14.97,8.78,8.8,7.49,52950
VERIFYME INC.,1.62,8.72,1.55,1.68,1.55,52868
KORRO BIO INC.,48.85,1.6,48.49,49.6,46.66,52839
BAYVIEW ACQUISITION CORP ORD.,10.2,10.1,10.2,10.2,10.2,52807
PINTEC TECHNOLOGY HLD.,1.1,11.79,1.12,1.13,1.1,52713
ENDRA LIFE SCIENCES INC.,0.2822,0.39,0.2952,0.2987,0.28,52595
EFFECTOR THERAPEUTICS INC.,1.78,12.2,1.86,1.9,1.76,52455
FULL HOUSE RESORTS INC.,4.95,12.17,5.1,5.1,4.91,52326
FANHUA INC. ADS,3.1,11.9,3.2,3.34,3.1,52305
ACRIVON THERAPEUTICS INC.,7.95,11.97,8.14,8.26,7.93,52182
KAIVAL BRANDS INNOVATIONS GROUP,1.73,12.81,1.71,1.84,1.71,52157
TECHTARGET INC.,29.99,0.98,29.92,30.99,29.76,52140
1ST SOURCE CORP.,50.55,0.7,50.49,50.66,49.69,52090
FARMERS NATIONAL BANC,12.36,0.41,12.36,12.41,12.29,52026
LIQUIDITY SERVICES INC.,19.29,0.89,19.12,19.32,19.11,51417
INTERNATIONAL GENERAL INSURANCE HLD.,14.29,0.49,14.25,14.32,14.18,51339
OCA ACQUISITION,11.18,1.18,11.22,11.26,11.05,51299
MATERIALISE NV ADS,5.12,10.39,5.13,5.2,5.1,51266
STRATA SKIN SCIENCES INC.,0.385,4.05,0.3875,0.4299,0.385,51001
LANDOS BIOPHARMA INC.,22.93,0.0,22.93,22.94,22.75,50899
INFOBIRD CO. LTD,3.95,0.77,4.0,4.04,3.88,50834
MIDLAND STATES BANCORP INC.,22.83,1.06,22.77,22.93,22.64,50813
TOP WEALTH GROUP HOLDING,1.05,10.94,1.05,1.07,1.02,50807
VBI VACCINES INC.,0.649,3.02,0.6337,0.65,0.625,50734
